"Test Case ID","Module / Feature","Test Scenario Description","Selenium Automation Steps","Locator Strategy","Input Data / Parameters","Expected Result","Priority","Execution Status"
"TC_EQ_019","Equipment Rental Desk and Cart","Verify clicking Confirm Equipment Rental with empty cart shows info toast","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify clicking Confirm Equipment Rental with empty cart shows info toast","css=[data-test='tc_eq_19']","Test Param: Verify clicking Confirm Equipment Rental with empty cart shows info toast","Web app UI and state update properly for: Verify clicking Confirm Equipment Rental with empty cart shows info toast","High","Ready for Automation"
"TC_EQ_020","Equipment Rental Desk and Cart","Verify clicking Confirm Equipment Rental with items submits order","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify clicking Confirm Equipment Rental with items submits order","css=[data-test='tc_eq_20']","Test Param: Verify clicking Confirm Equipment Rental with items submits order","Web app UI and state update properly for: Verify clicking Confirm Equipment Rental with items submits order","Medium","Ready for Automation"
"TC_EQ_021","Equipment Rental Desk and Cart","Verify equipment checkout clears cart items and resets total to 0","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment checkout clears cart items and resets total to 0","css=[data-test='tc_eq_21']","Test Param: Verify equipment checkout clears cart items and resets total to 0","Web app UI and state update properly for: Verify equipment checkout clears cart items and resets total to 0","Low","Ready for Automation"
"TC_EQ_022","Equipment Rental Desk and Cart","Verify equipment checkout triggers success toast with pickup details","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment checkout triggers success toast with pickup details","css=[data-test='tc_eq_22']","Test Param: Verify equipment checkout triggers success toast with pickup details","Web app UI and state update properly for: Verify equipment checkout triggers success toast with pickup details","High","Ready for Automation"
"TC_EQ_023","Equipment Rental Desk and Cart","Verify equipment icon rendering Badminton Football Cricket Tennis Basketball","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment icon rendering Badminton Football Cricket Tennis Basketball","css=[data-test='tc_eq_23']","Test Param: Verify equipment icon rendering Badminton Football Cricket Tennis Basketball","Web app UI and state update properly for: Verify equipment icon rendering Badminton Football Cricket Tennis Basketball","Medium","Ready for Automation"
"TC_EQ_024","Equipment Rental Desk and Cart","Verify equipment category tag rendering","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment category tag rendering","css=[data-test='tc_eq_24']","Test Param: Verify equipment category tag rendering","Web app UI and state update properly for: Verify equipment category tag rendering","Low","Ready for Automation"
"TC_EQ_025","Equipment Rental Desk and Cart","Verify rental cart layout positioning on desktop screens","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify rental cart layout positioning on desktop screens","css=[data-test='tc_eq_25']","Test Param: Verify rental cart layout positioning on desktop screens","Web app UI and state update properly for: Verify rental cart layout positioning on desktop screens","High","Ready for Automation"
"TC_EQ_026","Equipment Rental Desk and Cart","Verify rental cart responsiveness on mobile screens","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify rental cart responsiveness on mobile screens","css=[data-test='tc_eq_26']","Test Param: Verify rental cart responsiveness on mobile screens","Web app UI and state update properly for: Verify rental cart responsiveness on mobile screens","Medium","Ready for Automation"
"TC_EQ_027","Equipment Rental Desk and Cart","Verify adding multiple distinct equipment types to cart","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify adding multiple distinct equipment types to cart","css=[data-test='tc_eq_27']","Test Param: Verify adding multiple distinct equipment types to cart","Web app UI and state update properly for: Verify adding multiple distinct equipment types to cart","Low","Ready for Automation"
"TC_EQ_028","Equipment Rental Desk and Cart","Verify price formatting with Rupee symbol on equipment cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify price formatting with Rupee symbol on equipment cards","css=[data-test='tc_eq_28']","Test Param: Verify price formatting with Rupee symbol on equipment cards","Web app UI and state update properly for: Verify price formatting with Rupee symbol on equipment cards","High","Ready for Automation"
"TC_EQ_029","Equipment Rental Desk and Cart","Verify stock limit validation when adding items","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify stock limit validation when adding items","css=[data-test='tc_eq_29']","Test Param: Verify stock limit validation when adding items","Web app UI and state update properly for: Verify stock limit validation when adding items","Medium","Ready for Automation"
"TC_EQ_030","Equipment Rental Desk and Cart","Verify cart summary title Rental Summary rendering","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify cart summary title Rental Summary rendering","css=[data-test='tc_eq_30']","Test Param: Verify cart summary title Rental Summary rendering","Web app UI and state update properly for: Verify cart summary title Rental Summary rendering","Low","Ready for Automation"
"TC_EQ_031","Equipment Rental Desk and Cart","Verify total amount row highlight in cart summary","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify total amount row highlight in cart summary","css=[data-test='tc_eq_31']","Test Param: Verify total amount row highlight in cart summary","Web app UI and state update properly for: Verify total amount row highlight in cart summary","High","Ready for Automation"
"TC_EQ_032","Equipment Rental Desk and Cart","Verify full-width styling of Confirm Equipment Rental button","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify full-width styling of Confirm Equipment Rental button","css=[data-test='tc_eq_32']","Test Param: Verify full-width styling of Confirm Equipment Rental button","Web app UI and state update properly for: Verify full-width styling of Confirm Equipment Rental button","Medium","Ready for Automation"
"TC_EQ_033","Equipment Rental Desk and Cart","Verify equipment data array fallback initialization","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment data array fallback initialization","css=[data-test='tc_eq_33']","Test Param: Verify equipment data array fallback initialization","Web app UI and state update properly for: Verify equipment data array fallback initialization","Low","Ready for Automation"
"TC_EQ_034","Equipment Rental Desk and Cart","Verify category filtering for Badminton gear","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify category filtering for Badminton gear","css=[data-test='tc_eq_34']","Test Param: Verify category filtering for Badminton gear","Web app UI and state update properly for: Verify category filtering for Badminton gear","High","Ready for Automation"
"TC_EQ_035","Equipment Rental Desk and Cart","Verify category filtering for Cricket gear","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify category filtering for Cricket gear","css=[data-test='tc_eq_35']","Test Param: Verify category filtering for Cricket gear","Web app UI and state update properly for: Verify category filtering for Cricket gear","Medium","Ready for Automation"
"TC_EQ_036","Equipment Rental Desk and Cart","Verify category filtering for Football gear","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify category filtering for Football gear","css=[data-test='tc_eq_36']","Test Param: Verify category filtering for Football gear","Web app UI and state update properly for: Verify category filtering for Football gear","Low","Ready for Automation"
"TC_EQ_037","Equipment Rental Desk and Cart","Verify category filtering for Tennis gear","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify category filtering for Tennis gear","css=[data-test='tc_eq_37']","Test Param: Verify category filtering for Tennis gear","Web app UI and state update properly for: Verify category filtering for Tennis gear","High","Ready for Automation"
"TC_EQ_038","Equipment Rental Desk and Cart","Verify category filtering for Basketball gear","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify category filtering for Basketball gear","css=[data-test='tc_eq_38']","Test Param: Verify category filtering for Basketball gear","Web app UI and state update properly for: Verify category filtering for Basketball gear","Medium","Ready for Automation"
"TC_EQ_039","Equipment Rental Desk and Cart","Verify cart item deletion or clear functionality","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify cart item deletion or clear functionality","css=[data-test='tc_eq_39']","Test Param: Verify cart item deletion or clear functionality","Web app UI and state update properly for: Verify cart item deletion or clear functionality","Low","Ready for Automation"
"TC_EQ_040","Equipment Rental Desk and Cart","Verify UI layout stability when cart contains 10+ items","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify UI layout stability when cart contains 10+ items","css=[data-test='tc_eq_40']","Test Param: Verify UI layout stability when cart contains 10+ items","Web app UI and state update properly for: Verify UI layout stability when cart contains 10+ items","High","Ready for Automation"
"TC_EQ_041","Equipment Rental Desk and Cart","Verify daily rate tag styling on equipment cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify daily rate tag styling on equipment cards","css=[data-test='tc_eq_41']","Test Param: Verify daily rate tag styling on equipment cards","Web app UI and state update properly for: Verify daily rate tag styling on equipment cards","Medium","Ready for Automation"
"TC_EQ_042","Equipment Rental Desk and Cart","Verify button state change on click","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify button state change on click","css=[data-test='tc_eq_42']","Test Param: Verify button state change on click","Web app UI and state update properly for: Verify button state change on click","Low","Ready for Automation"
"TC_EQ_043","Equipment Rental Desk and Cart","Verify scrolling behavior within equipment grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify scrolling behavior within equipment grid","css=[data-test='tc_eq_43']","Test Param: Verify scrolling behavior within equipment grid","Web app UI and state update properly for: Verify scrolling behavior within equipment grid","High","Ready for Automation"
"TC_EQ_044","Equipment Rental Desk and Cart","Verify empty cart message text No equipment selected yet","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify empty cart message text No equipment selected yet","css=[data-test='tc_eq_44']","Test Param: Verify empty cart message text No equipment selected yet","Web app UI and state update properly for: Verify empty cart message text No equipment selected yet","Medium","Ready for Automation"
"TC_EQ_045","Equipment Rental Desk and Cart","Verify checkout button disabled state when processing","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify checkout button disabled state when processing","css=[data-test='tc_eq_45']","Test Param: Verify checkout button disabled state when processing","Web app UI and state update properly for: Verify checkout button disabled state when processing","Low","Ready for Automation"
"TC_EQ_046","Equipment Rental Desk and Cart","Verify rental history record creation","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify rental history record creation","css=[data-test='tc_eq_46']","Test Param: Verify rental history record creation","Web app UI and state update properly for: Verify rental history record creation","High","Ready for Automation"
"TC_EQ_047","Equipment Rental Desk and Cart","Verify venue pickup instructions in success notification","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify venue pickup instructions in success notification","css=[data-test='tc_eq_47']","Test Param: Verify venue pickup instructions in success notification","Web app UI and state update properly for: Verify venue pickup instructions in success notification","Medium","Ready for Automation"
"TC_EQ_048","Equipment Rental Desk and Cart","Verify equipment image or icon fallback handling","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify equipment image or icon fallback handling","css=[data-test='tc_eq_48']","Test Param: Verify equipment image or icon fallback handling","Web app UI and state update properly for: Verify equipment image or icon fallback handling","Low","Ready for Automation"
"TC_EQ_049","Equipment Rental Desk and Cart","Verify cart item quantity counter display","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify cart item quantity counter display","css=[data-test='tc_eq_49']","Test Param: Verify cart item quantity counter display","Web app UI and state update properly for: Verify cart item quantity counter display","High","Ready for Automation"
"TC_EQ_050","Equipment Rental Desk and Cart","Verify rental summary pane sticky positioning on scroll","1. Open http://127.0.0.1:8080/ 2. Navigate to Equipment Rental Desk and Cart 3. Perform test: Verify rental summary pane sticky positioning on scroll","css=[data-test='tc_eq_50']","Test Param: Verify rental summary pane sticky positioning on scroll","Web app UI and state update properly for: Verify rental summary pane sticky positioning on scroll","Medium","Ready for Automation"
"TC_TEAM_001","Team Finder and Matchmaker","Verify navigating to Team Finder tab via navbar button","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify navigating to Team Finder tab via navbar button","css=[data-test='tc_team_1']","Test Param: Verify navigating to Team Finder tab via navbar button","Web app UI and state update properly for: Verify navigating to Team Finder tab via navbar button","High","Ready for Automation"
"TC_TEAM_002","Team Finder and Matchmaker","Verify Team Finder tab pane receives active class","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Team Finder tab pane receives active class","css=[data-test='tc_team_2']","Test Param: Verify Team Finder tab pane receives active class","Web app UI and state update properly for: Verify Team Finder tab pane receives active class","Medium","Ready for Automation"
"TC_TEAM_003","Team Finder and Matchmaker","Verify initial team cards rendered in teams grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify initial team cards rendered in teams grid","css=[data-test='tc_team_3']","Test Param: Verify initial team cards rendered in teams grid","Web app UI and state update properly for: Verify initial team cards rendered in teams grid","Low","Ready for Automation"
"TC_TEAM_004","Team Finder and Matchmaker","Verify team card header rendering team name","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team card header rendering team name","css=[data-test='tc_team_4']","Test Param: Verify team card header rendering team name","Web app UI and state update properly for: Verify team card header rendering team name","High","Ready for Automation"
"TC_TEAM_005","Team Finder and Matchmaker","Verify team card sport badge rendering Football Badminton Cricket","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team card sport badge rendering Football Badminton Cricket","css=[data-test='tc_team_5']","Test Param: Verify team card sport badge rendering Football Badminton Cricket","Web app UI and state update properly for: Verify team card sport badge rendering Football Badminton Cricket","Medium","Ready for Automation"
"TC_TEAM_006","Team Finder and Matchmaker","Verify team card location line Location text","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team card location line Location text","css=[data-test='tc_team_6']","Test Param: Verify team card location line Location text","Web app UI and state update properly for: Verify team card location line Location text","Low","Ready for Automation"
"TC_TEAM_007","Team Finder and Matchmaker","Verify team card players needed badge Needed X Players","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team card players needed badge Needed X Players","css=[data-test='tc_team_7']","Test Param: Verify team card players needed badge Needed X Players","Web app UI and state update properly for: Verify team card players needed badge Needed X Players","High","Ready for Automation"
"TC_TEAM_008","Team Finder and Matchmaker","Verify clicking Join Match button on team card","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify clicking Join Match button on team card","css=[data-test='tc_team_8']","Test Param: Verify clicking Join Match button on team card","Web app UI and state update properly for: Verify clicking Join Match button on team card","Medium","Ready for Automation"
"TC_TEAM_009","Team Finder and Matchmaker","Verify Join Match button click triggers success toast notification","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Join Match button click triggers success toast notification","css=[data-test='tc_team_9']","Test Param: Verify Join Match button click triggers success toast notification","Web app UI and state update properly for: Verify Join Match button click triggers success toast notification","Low","Ready for Automation"
"TC_TEAM_010","Team Finder and Matchmaker","Verify Create Match Request button presence in section header","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Create Match Request button presence in section header","css=[data-test='tc_team_10']","Test Param: Verify Create Match Request button presence in section header","Web app UI and state update properly for: Verify Create Match Request button presence in section header","High","Ready for Automation"
"TC_TEAM_011","Team Finder and Matchmaker","Verify clicking Create Match Request opens create team modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify clicking Create Match Request opens create team modal","css=[data-test='tc_team_11']","Test Param: Verify clicking Create Match Request opens create team modal","Web app UI and state update properly for: Verify clicking Create Match Request opens create team modal","Medium","Ready for Automation"
"TC_TEAM_012","Team Finder and Matchmaker","Verify closing create team modal via X button","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify closing create team modal via X button","css=[data-test='tc_team_12']","Test Param: Verify closing create team modal via X button","Web app UI and state update properly for: Verify closing create team modal via X button","Low","Ready for Automation"
"TC_TEAM_013","Team Finder and Matchmaker","Verify create team modal input fields Team Name Sport Players Location","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify create team modal input fields Team Name Sport Players Location","css=[data-test='tc_team_13']","Test Param: Verify create team modal input fields Team Name Sport Players Location","Web app UI and state update properly for: Verify create team modal input fields Team Name Sport Players Location","High","Ready for Automation"
"TC_TEAM_014","Team Finder and Matchmaker","Verify Sport dropdown options Football Cricket Badminton Basketball","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Sport dropdown options Football Cricket Badminton Basketball","css=[data-test='tc_team_14']","Test Param: Verify Sport dropdown options Football Cricket Badminton Basketball","Web app UI and state update properly for: Verify Sport dropdown options Football Cricket Badminton Basketball","Medium","Ready for Automation"
"TC_TEAM_015","Team Finder and Matchmaker","Verify Players Needed input min value 1 and max value 11","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Players Needed input min value 1 and max value 11","css=[data-test='tc_team_15']","Test Param: Verify Players Needed input min value 1 and max value 11","Web app UI and state update properly for: Verify Players Needed input min value 1 and max value 11","Low","Ready for Automation"
"TC_TEAM_016","Team Finder and Matchmaker","Verify submitting create team form with valid inputs","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify submitting create team form with valid inputs","css=[data-test='tc_team_16']","Test Param: Verify submitting create team form with valid inputs","Web app UI and state update properly for: Verify submitting create team form with valid inputs","High","Ready for Automation"
"TC_TEAM_017","Team Finder and Matchmaker","Verify new match request prepends dynamically to teams grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify new match request prepends dynamically to teams grid","css=[data-test='tc_team_17']","Test Param: Verify new match request prepends dynamically to teams grid","Web app UI and state update properly for: Verify new match request prepends dynamically to teams grid","Medium","Ready for Automation"
"TC_TEAM_018","Team Finder and Matchmaker","Verify new match card displays logged-in user name as creator","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify new match card displays logged-in user name as creator","css=[data-test='tc_team_18']","Test Param: Verify new match card displays logged-in user name as creator","Web app UI and state update properly for: Verify new match card displays logged-in user name as creator","Low","Ready for Automation"
"TC_TEAM_019","Team Finder and Matchmaker","Verify creator defaults to Demo User when logged out","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify creator defaults to Demo User when logged out","css=[data-test='tc_team_19']","Test Param: Verify creator defaults to Demo User when logged out","Web app UI and state update properly for: Verify creator defaults to Demo User when logged out","High","Ready for Automation"
"TC_TEAM_020","Team Finder and Matchmaker","Verify create team form submission closes modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify create team form submission closes modal","css=[data-test='tc_team_20']","Test Param: Verify create team form submission closes modal","Web app UI and state update properly for: Verify create team form submission closes modal","Medium","Ready for Automation"
"TC_TEAM_021","Team Finder and Matchmaker","Verify create team success toast notification display","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify create team success toast notification display","css=[data-test='tc_team_21']","Test Param: Verify create team success toast notification display","Web app UI and state update properly for: Verify create team success toast notification display","Low","Ready for Automation"
"TC_TEAM_022","Team Finder and Matchmaker","Verify form validation when Team Name is left empty","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify form validation when Team Name is left empty","css=[data-test='tc_team_22']","Test Param: Verify form validation when Team Name is left empty","Web app UI and state update properly for: Verify form validation when Team Name is left empty","High","Ready for Automation"
"TC_TEAM_023","Team Finder and Matchmaker","Verify form validation when Location is left empty","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify form validation when Location is left empty","css=[data-test='tc_team_23']","Test Param: Verify form validation when Location is left empty","Web app UI and state update properly for: Verify form validation when Location is left empty","Medium","Ready for Automation"
"TC_TEAM_024","Team Finder and Matchmaker","Verify Team Finder grid responsiveness on desktop viewports","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Team Finder grid responsiveness on desktop viewports","css=[data-test='tc_team_24']","Test Param: Verify Team Finder grid responsiveness on desktop viewports","Web app UI and state update properly for: Verify Team Finder grid responsiveness on desktop viewports","Low","Ready for Automation"
"TC_TEAM_025","Team Finder and Matchmaker","Verify Team Finder grid responsiveness on tablet viewports","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Team Finder grid responsiveness on tablet viewports","css=[data-test='tc_team_25']","Test Param: Verify Team Finder grid responsiveness on tablet viewports","Web app UI and state update properly for: Verify Team Finder grid responsiveness on tablet viewports","High","Ready for Automation"
"TC_TEAM_026","Team Finder and Matchmaker","Verify Team Finder grid responsiveness on mobile viewports","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify Team Finder grid responsiveness on mobile viewports","css=[data-test='tc_team_26']","Test Param: Verify Team Finder grid responsiveness on mobile viewports","Web app UI and state update properly for: Verify Team Finder grid responsiveness on mobile viewports","Medium","Ready for Automation"
"TC_TEAM_027","Team Finder and Matchmaker","Verify sport badge color styling according to sport type","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify sport badge color styling according to sport type","css=[data-test='tc_team_27']","Test Param: Verify sport badge color styling according to sport type","Web app UI and state update properly for: Verify sport badge color styling according to sport type","Low","Ready for Automation"
"TC_TEAM_028","Team Finder and Matchmaker","Verify match request creation timestamp sorting","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify match request creation timestamp sorting","css=[data-test='tc_team_28']","Test Param: Verify match request creation timestamp sorting","Web app UI and state update properly for: Verify match request creation timestamp sorting","High","Ready for Automation"
"TC_TEAM_029","Team Finder and Matchmaker","Verify join match request deduplication check","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify join match request deduplication check","css=[data-test='tc_team_29']","Test Param: Verify join match request deduplication check","Web app UI and state update properly for: Verify join match request deduplication check","Medium","Ready for Automation"
"TC_TEAM_030","Team Finder and Matchmaker","Verify team name truncation for long text strings","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team name truncation for long text strings","css=[data-test='tc_team_30']","Test Param: Verify team name truncation for long text strings","Web app UI and state update properly for: Verify team name truncation for long text strings","Low","Ready for Automation"
"TC_TEAM_031","Team Finder and Matchmaker","Verify location text wrapping on team cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify location text wrapping on team cards","css=[data-test='tc_team_31']","Test Param: Verify location text wrapping on team cards","Web app UI and state update properly for: Verify location text wrapping on team cards","High","Ready for Automation"
"TC_TEAM_032","Team Finder and Matchmaker","Verify player count input stepper controls","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify player count input stepper controls","css=[data-test='tc_team_32']","Test Param: Verify player count input stepper controls","Web app UI and state update properly for: Verify player count input stepper controls","Medium","Ready for Automation"
"TC_TEAM_033","Team Finder and Matchmaker","Verify modal backdrop overlay on team create modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify modal backdrop overlay on team create modal","css=[data-test='tc_team_33']","Test Param: Verify modal backdrop overlay on team create modal","Web app UI and state update properly for: Verify modal backdrop overlay on team create modal","Low","Ready for Automation"
"TC_TEAM_034","Team Finder and Matchmaker","Verify team cards layout spacing and grid gap","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team cards layout spacing and grid gap","css=[data-test='tc_team_34']","Test Param: Verify team cards layout spacing and grid gap","Web app UI and state update properly for: Verify team cards layout spacing and grid gap","High","Ready for Automation"
"TC_TEAM_035","Team Finder and Matchmaker","Verify ESC key behavior on team create modal","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify ESC key behavior on team create modal","css=[data-test='tc_team_35']","Test Param: Verify ESC key behavior on team create modal","Web app UI and state update properly for: Verify ESC key behavior on team create modal","Medium","Ready for Automation"
"TC_TEAM_036","Team Finder and Matchmaker","Verify match request creation error handling","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify match request creation error handling","css=[data-test='tc_team_36']","Test Param: Verify match request creation error handling","Web app UI and state update properly for: Verify match request creation error handling","Low","Ready for Automation"
"TC_TEAM_037","Team Finder and Matchmaker","Verify team creator avatar or icon display","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team creator avatar or icon display","css=[data-test='tc_team_37']","Test Param: Verify team creator avatar or icon display","Web app UI and state update properly for: Verify team creator avatar or icon display","High","Ready for Automation"
"TC_TEAM_038","Team Finder and Matchmaker","Verify team list update when new request added","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify team list update when new request added","css=[data-test='tc_team_38']","Test Param: Verify team list update when new request added","Web app UI and state update properly for: Verify team list update when new request added","Medium","Ready for Automation"
"TC_TEAM_039","Team Finder and Matchmaker","Verify match request status indicator","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify match request status indicator","css=[data-test='tc_team_39']","Test Param: Verify match request status indicator","Web app UI and state update properly for: Verify match request status indicator","Low","Ready for Automation"
"TC_TEAM_040","Team Finder and Matchmaker","Verify section header title Team Finder and Matchmaker","1. Open http://127.0.0.1:8080/ 2. Navigate to Team Finder and Matchmaker 3. Perform test: Verify section header title Team Finder and Matchmaker","css=[data-test='tc_team_40']","Test Param: Verify section header title Team Finder and Matchmaker","Web app UI and state update properly for: Verify section header title Team Finder and Matchmaker","High","Ready for Automation"
"TC_QR_001","Digital Entry Pass and QR Code","Verify navigating to My Bookings and QR tab via navbar button","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify navigating to My Bookings and QR tab via navbar button","css=[data-test='tc_qr_1']","Test Param: Verify navigating to My Bookings and QR tab via navbar button","Web app UI and state update properly for: Verify navigating to My Bookings and QR tab via navbar button","High","Ready for Automation"
"TC_QR_002","Digital Entry Pass and QR Code","Verify My Bookings tab pane receives active class","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify My Bookings tab pane receives active class","css=[data-test='tc_qr_2']","Test Param: Verify My Bookings tab pane receives active class","Web app UI and state update properly for: Verify My Bookings tab pane receives active class","Medium","Ready for Automation"
"TC_QR_003","Digital Entry Pass and QR Code","Verify bookings list container rendering on left side","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify bookings list container rendering on left side","css=[data-test='tc_qr_3']","Test Param: Verify bookings list container rendering on left side","Web app UI and state update properly for: Verify bookings list container rendering on left side","Low","Ready for Automation"
